chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
,,214572,0,0,0,0,0,1,0.0,0.5,0,Brandon,0.0,558,False,,,40,214572.jpg,0.0,Austin,0.2,False,,a,17,6,0,16692,9,8733,40,0.0,0.0,Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,199584,0,0,1,-1,0,2,1.0,1.5,2,Japhet,1.0,583,False,,,41,199584.jpg,2.8,Tanganga,2.5,False,,a,17,6,17,248645,890,68309,922,0.2,4.1,Tanganga,525,0,0,2,7,0,0,0,1,0,0,0,100,134.4,17.2,20.0,17.1
,,195774,0,0,-3,3,0,3,0.5,1.0,0,Gedson,0.5,605,False,,,47,195774.jpg,1.0,Carvalho Fernandes,0.0,False,,a,17,6,4,5033,33,3337,41,0.1,0.9,Fernandes,40,0,0,0,0,0,0,0,0,0,0,0,14,11.6,27.0,6.0,4.5
75,,194252,0,0,0,0,0,3,2.2,3.5,1,Steven,3.0,615,False,Knock - 75% chance of playing,2020-03-08T15:00:19.797089Z,75,194252.jpg,4.4,Bergwijn,2.2,False,,d,17,6,22,238567,1762,81016,4428,0.4,2.9,Bergwijn,416,2,0,1,8,0,0,0,1,0,0,2,74,95.6,96.9,116.0,30.8
100,100,40868,0,0,-4,4,0,2,-0.5,0.0,0,José,0.0,353,False,,2019-12-04T20:00:11.977301Z,46,40868.jpg,1.3,Holebas,0.7,False,,a,18,57,16,19308,12,237510,35,0.0,3.5,Holebas,1004,0,0,2,26,0,0,0,5,0,0,0,141,170.0,207.8,62.0,43.8
100,100,85624,0,0,-2,2,1,2,2.5,3.0,2,Christian,3.0,354,False,,2020-01-02T14:30:15.835545Z,43,85624.jpg,3.2,Kabasele,0.5,False,,a,18,57,60,66922,124,53976,98,0.7,14.0,Kabasele,1575,0,1,7,19,0,0,0,1,2,0,4,293,348.6,23.9,100.0,47.4
100,100,155651,0,0,-2,2,0,2,2.5,3.0,2,Adam,3.0,355,False,,2019-12-12T22:00:15.473547Z,43,155651.jpg,2.8,Masina,0.3,False,,a,18,57,48,25723,136,12038,111,0.7,11.2,Masina,1221,1,0,5,19,0,0,0,3,0,0,2,221,289.0,147.7,58.0,49.8
100,100,20145,0,0,-3,3,0,2,-0.7,-0.2,0,Adrian,-0.2,356,False,,2019-12-28T17:00:19.627436Z,42,20145.jpg,1.6,Mariappa,0.3,False,,a,18,57,24,31287,5,28604,251,0.0,5.7,Mariappa,1226,0,0,3,25,1,0,0,2,1,0,1,168,190.2,71.5,32.0,28.7
100,100,54484,0,0,-3,3,0,2,1.3,1.8,1,Francisco,1.8,357,False,,2020-01-01T17:30:18.675582Z,42,54484.jpg,1.9,Femenía Far,0.4,False,,a,18,57,36,82069,197,107043,80,0.4,8.6,Kiko Femenía,1524,0,0,4,29,0,0,0,5,0,0,0,263,258.0,223.0,40.0,52.2
100,100,41338,0,0,-2,2,1,2,2.0,2.5,2,Craig,2.5,358,False,,2019-12-28T19:30:17.240152Z,43,41338.jpg,2.8,Cathcart,3.3,False,,a,18,57,76,276741,1472,306846,756,0.6,17.7,Cathcart,2353,0,0,9,33,0,0,0,6,0,0,3,423,444.8,34.1,40.0,52.0
0,0,52940,0,0,-5,5,1,2,0.0,0.0,0,Daryl,0.0,359,False,Lack of match fitness - Unknown return date,2019-11-23T17:00:22.899461Z,40,52940.jpg,4.5,Janmaat,0.6,False,,i,18,57,36,190725,78,198336,218,0.0,9.0,Janmaat,606,0,1,4,5,1,0,0,1,0,0,7,148,116.0,108.4,46.0,27.1
0,0,220166,0,0,-1,1,0,2,0.0,0.0,0,Marc,0.0,360,False,Joined Leganes on loan until the end of the season on 25/7. - Expected back 01 Jul,2019-07-26T16:00:12.508474Z,39,220166.jpg,0.0,Navarro,0.3,False,,n,18,57,0,48718,38,38932,68,0.0,0.0,Navarro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,41945,0,0,-1,1,0,2,0.0,0.0,0,Sebastian,0.0,361,False,Contract terminated on 31/1,2019-11-21T17:30:19.779527Z,39,41945.jpg,1.0,Prödl,1.1,False,,u,18,57,1,65236,110,112804,188,0.0,0.3,Prödl,56,0,0,0,0,0,0,0,0,0,0,0,3,1.8,0.1,8.0,1.0
100,100,41725,0,0,-3,3,2,4,3.7,4.2,2,Troy,4.2,362,False,,2019-08-22T16:30:07.834073Z,62,41725.jpg,3.9,Deeney,2.0,False,,a,18,57,70,257632,2234,308784,1104,0.7,11.3,Deeney,1501,6,2,6,20,0,0,1,3,0,0,10,258,373.6,259.5,603.0,123.7
0,0,94924,0,0,-4,4,2,4,0.0,0.0,0,Gerard,1.2,363,False,Knee injury - Unknown return date,2020-02-29T20:00:17.592234Z,61,94924.jpg,3.1,Deulofeu,2.1,False,,i,18,57,88,406042,17,651996,2726,0.2,14.4,Deulofeu,2097,4,5,8,33,0,0,0,3,0,0,9,330,458.4,602.3,896.0,195.4
